Name,Date,Site,Transect,Aux3,Aux4,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
G0644126.JPG,5/27/2016,2,4,,,,30,,,23,,,,,,,
G0644129.JPG,5/27/2016,2,4,,,,30,,,23,,,,,,,
G0644132.JPG,5/27/2016,2,4,,,,30,,,23,,,,,,,
G0644137.JPG,5/27/2016,2,4,,,,30,,,23,,,,,,,
G0644139.JPG,5/27/2016,2,4,,,,30,,,23,,,,,,,
G0644142.JPG,5/27/2016,2,4,,,,30,,,23,,,,,,,
G0654146.JPG,5/30/2016,3,1,,,,30,,,45,,,,,,,
G0654150.JPG,5/30/2016,3,1,,,,30,,,45,,,,,,,
G0654154.JPG,5/30/2016,3,1,,,,30,,,45,,,,,,,
G0654159.JPG,5/30/2016,3,1,,,,30,,,45,,,,,,,
G0654161.JPG,5/30/2016,3,1,,,,30,,,45,,,,,,,
G0654164.JPG,5/30/2016,3,1,,,,30,,,45,,,,,,,
G0654168.JPG,5/30/2016,3,1,,,,30,,,45,,,,,,,
G0654170.JPG,5/30/2016,3,1,,,,30,,,45,,,,,,,
G0654175.JPG,5/30/2016,3,1,,,,30,,,45,,,,,,,
G0654182.JPG,5/30/2016,3,1,,,,30,,,45,,,,,,,
G0664188.JPG,5/30/2016,3,2,,,,30,,,45,,,,,,,
G0664190.JPG,5/30/2016,3,2,,,,30,,,45,,,,,,,
G0664194.JPG,5/30/2016,3,2,,,,30,,,45,,,,,,,
G0664196.JPG,5/30/2016,3,2,,,,30,,,45,,,,,,,
G0664199.JPG,5/30/2016,3,2,,,,30,,,45,,,,,,,
G0664204.JPG,5/30/2016,3,2,,,,30,,,45,,,,,,,
G0664208.JPG,5/30/2016,3,2,,,,30,,,45,,,,,,,
G0664213.JPG,5/30/2016,3,2,,,,30,,,45,,,,,,,
G0664216.JPG,5/30/2016,3,2,,,,30,,,45,,,,,,,
G0664218.JPG,5/30/2016,3,2,,,,30,,,45,,,,,,,
G0674222.JPG,5/30/2016,3,3,,,,30,,,45,,,,,,,
G0674226.JPG,5/30/2016,3,3,,,,30,,,45,,,,,,,
G0674229.JPG,5/30/2016,3,3,,,,30,,,45,,,,,,,
G0674232.JPG,5/30/2016,3,3,,,,30,,,45,,,,,,,
G0674236.JPG,5/30/2016,3,3,,,,30,,,45,,,,,,,
G0674241.JPG,5/30/2016,3,3,,,,30,,,45,,,,,,,
G0674244.JPG,5/30/2016,3,3,,,,30,,,45,,,,,,,
G0674247.JPG,5/30/2016,3,3,,,,30,,,45,,,,,,,
G0674250.JPG,5/30/2016,3,3,,,,30,,,45,,,,,,,
G0674254.JPG,5/30/2016,3,3,,,,30,,,45,,,,,,,
G0684260.JPG,5/30/2016,3,4,,,,30,,,45,,,,,,,
G0684263.JPG,5/30/2016,3,4,,,,30,,,45,,,,,,,
G0684266.JPG,5/30/2016,3,4,,,,30,,,45,,,,,,,
G0684269.JPG,5/30/2016,3,4,,,,30,,,45,,,,,,,
