name,functional_group,Label
Bleached_Coscinarea_Sub-Massive,hard_coral,BlCoscSM
Bleached_Cyphastrea,hard_coral,B_Cyph
Bleached_Cyphastrea_Sub-Massive,hard_coral,BlCypSM
Bleached_Diploria_labyrinthiformes,hard_coral,DLAB-BL
Bleached_Echinophyllia,hard_coral,B_Echin
Bleached_Echinopora,hard_coral,B_Ech
Bleached_Favia,hard_coral,BFavia
Bleached_Favia_Encrusting,hard_coral,BlFavEnc
Bleached_Favia_matthai,hard_coral,B_FaviaM
Bleached_Favia_Sub-massive,hard_coral,BlFavSM
Bleached_Faviidae,hard_coral,Bfaviidae
Bleached_Favites,hard_coral,BFav
Bleached_Favites_Encrusting,hard_coral,BlFaviEn
Bleached_Favites_pentagona,hard_coral,B_FavPent
Bleached_Favites_Sub-massive,hard_coral,BlFaviSM
Bleached_Fungia_sp.,hard_coral,B_Fung
Bleached_Gardineroseris,hard_coral,BGard
Bleached_Goniastrea,hard_coral,BGon
Bleached_Goniastrea_Sub-massive,hard_coral,BlGoniSM
Bleached_Goniopora,hard_coral,BGonio
Bleached_Hard_Coral,hard_coral,BLHard
Bleached_Heteropsammia_cochlea,hard_coral,BlHetcFL
Bleached_Isopora,hard_coral,Blisop
Bleached_Isopora_Columnar,hard_coral,BlIsoCol
Bleached_Isopora_Encrusting,hard_coral,BlIsoEnc
Bleached_Isopora_Sub-Massive,hard_coral,BlIsoSM
Bleached_Leptastrea,hard_coral,B_Leptastr
Bleached_Leptastrea_Sub-Massive,hard_coral,BlLepSM
Bleached_Leptoria,hard_coral,BlLept
Bleached_Leptoseris,hard_coral,Bleptos
Bleached_Leptoseris_Branching,hard_coral,BlLepBr
Bleached_Leptoseris_Encrusting,hard_coral,BlLepEnc
Bleached_Lobophyllia_sp.,hard_coral,B_Lobo
Bleached_Madracis,hard_coral,BMADR
Bleached_M._Annularis,hard_coral,BMA
Bleached_Merulina,hard_coral,B_Mer
Bleached_Montastrea_Encrusting,hard_coral,BlMonEnc
Bleached_Montastrea_Sub-Massive,hard_coral,BlMonSM
Bleached_Montipora,hard_coral,B_Monti
Bleached_Montipora_capitata,hard_coral,BMCAP
Bleached_Montipora_flabellata,hard_coral,BMFLA
Bleached_Montipora_patula,hard_coral,BMPAT
Bleached_Montipora_Sub-Massive,hard_coral,BlMontSM
Bleached_Montipora_Tabulate,hard_coral,BlMontTbl
Bleached_Mycedium,hard_coral,B_Myc
Bleached_Orbicella,hard_coral,BORB
Bleached_Pachyseris,hard_coral,BPach
Bleached_Partial_Acanthastrea_Sub-massive,hard_coral,BlPtAcaSM
Bleached_Partial_Acropora_branching,hard_coral,BlPtAcrBra
Bleached_Partial_Acropora_corymbose,hard_coral,BlPtAcrCor
Bleached_Partial_Acropora_Digitate,hard_coral,BlPtAcrDig
Bleached_Partial_Acropora_Encrusting,hard_coral,BlPtAcrEnc
Bleached_Partial_Acropora_tabulate,hard_coral,BlPtAcrTbl
Bleached_Partial_Alveopora_Encrusting,hard_coral,BlPtAlvEnc
